Размер,Раздел,Категория,Бренд,Материал одежды,Цвет,Состояние товара,Продавец,Скидка,Цена,Описание,Материал футболок
FR_40,Женское,Рубашки,CHRISTIAN DIOR,Хлопок,Белый,Новое с биркой,Частный продавец,13.0,135000.0,"рубашка абсолютно новая, бирки на месте, кофр в комплекте",missing_label
IT_40,Женское,Повседневные платья,SAINT LAURENT,Другое,Черный,Новое с биркой,Частный продавец,79.0,120000.0,"новое платье, покупала в италии . идёт на xs/s. очень классное , сидит по фигуре, визуально очень стройнит . глубокий вырез , очень красиво смотрится если под низ надеть кружевной лиф. либо платье можно носить на блузку, топ и тд.без торга.",missing_label
EU_40,Женское,Рубашки,ROCHAS,Шелк,Голубой,Отличное состояние,Частный продавец,52.0,11000.0,"модная шелковая рубашка, красивый цвет.",missing_label
INT_M,Женское,Жакеты и пиджаки,BALENCIAGA,Вискоза,Черный,Отличное состояние,Частный продавец,15.0,16200.0,"архивный пиджак balenciaga paris 2004 состояние: хорошее. размер: s/m *замеры уточняйте. коллекция 2004 года, архив бренда. вискоза. made in france. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
JEANS_31,Женское,Прямые джинсы,ROBERTO CAVALLI,missing_label,Голубой,Хорошее состояние,Частный продавец,11.0,17000.0,"джинсы cavalli jeans tiffany leopard sparkle 1990s состояние: отличное. размер: w31 (маломерит, идеально на s и m) длина 101, полупояс 37, выход штанины 22.5, шаг 77, бёдра 50 архив 1998-2002 год. серебристое напыление на всей поверхности брюк. анималистичный принт - ягуар/леопард. прямой сногсшибательный фасон с bootcut. made in italy. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
IT_40,Женское,Куртки,PRADA,Деним,Темно-синий,Хорошее состояние,Частный продавец,18.0,18000.0,"джинсовая куртка prada sport 2000s состояние: хорошее. размер: 40 it (xs-s) *другие замеры уточняйте. грудь 44 архив 2000-ых годов. куртка из денима (хлопок, нейлон). манжеты с прорезями под большой палец. высокая стойка воротник. наполнение - полиэстер. made in italy. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
INT_M,Женское,Кардиганы,CHANEL,Шерсть,Черный,Хорошее состояние,Частный продавец,10.0,15750.0,"кардиган chanel 2014 состояние: хорошее. размер: m длина по спине 69, рукав 59, грудь 48 100% шерсть. подписные пуговицы. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
INT_XS,Женское,Водолазки,GUCCI,Шерсть,Бордовый,Хорошее состояние,Частный продавец,10.0,15300.0,"джемпер-водолазка gucci by tom ford 2000’s состояние: отличное. размер: xs (xs-s) *замеры уточняйте. широкий рукав-реглан. логотип gg на тканевой основе в цветах бренда спереди. шерсть. made in italy. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
INT_S,Женское,Футболки,GUCCI,Шерсть,Темно-синий,Отличное состояние,Частный продавец,0.0,16200.0,"шерстяная футболка gucci by frida gianni 2006 rope состояние: отличное размер: s *замеры уточняйте. футболка из шерсти с вшитым узором каната. вышивка gucci снизу. made in italy. 2006 год. шерсть/полиамид. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
JEANS_27,Женское,Прямые джинсы,JUST CAVALLI,missing_label,Мульти,Отличное состояние,Частный продавец,0.0,16200.0,"джинсы just cavalli zebra geometric 2000s состояние: хорошее. размер: w27, 41 it *замеры уточняйте. длина 106, полупояс 36, шаг 87 удлиненный фасон с легким bootcut. made in italy. винтаж 2000-ых годов. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
IT_44,Женское,Шорты,PRADA,Шелк,Красный,Хорошее состояние,Частный продавец,0.0,16200.0,"мини шорты prada sport 2008 состояние: хорошее. размер: 44 it (m/l) длина 27, полупояс 50 (низкая посадка, на бедрах) , выход штанины 30, шаг 6 мини шорты в стиле спортшик. 100% шелк. made in italy. коллекция 2008 года. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
IT_44,Женское,Куртки,PRADA,Полиамид,Бежевый,Хорошее состояние,Частный продавец,29.0,17800.0,"нейлоновая куртка с завязками prada sport 1999 laced-up art 28a459 состояние: отличное. размер: 44 it (s/m) *замеры уточняйте. архив спортивной линии до 2006 года. изготовлена из нейлона, переливающемся на свету. завязки сбоку и на рукавах, так же регулировка горловины. made in italy. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
IT_46,Женское,Жилеты,PRADA,Полиамид,Серый,Отличное состояние,Частный продавец,20.0,14400.0,"нейлоновый жилет prada sport 1990s red tab состояние: отличное. размер: 46 it (m/l женский) *замеры уточняйте. длина по спине 57 , грудь 50 все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
IT_46,Женское,Лонгсливы,FENDI,Полиамид,Бежевый,Хорошее состояние,Частный продавец,3.0,14500.0,"лонгслив fendi jeans 1990s состояние: очень хорошее. размер: 46 it (s-l) *замеры уточняйте. архивный лонгслив 1990-ых годов производства. отделка манжетов в фирменную полоску. принт логотипа спереди. нейлон/хлопок/эластан. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
IT_42,Женское,Жилетки,PRADA,Шерсть,Фиолетовый,Отличное состояние,Частный продавец,9.0,14500.0,"свитер-жилет prada sport 2000s состояние: отличное размер: 42 it *замеры уточняйте. жилет из шерсти с нейлоновыми вставками. made in italy. архив до 2006 года. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️ предложите свою цену, всегда идем навстречу клиенту.",missing_label
INT_S,Женское,Майки,ERMANNO SCERVINO,Хлопок,Белый,Отличное состояние,Частный продавец,88.0,84000.0,"нежнейшая, с красивой вышивкой, хлопковая майка-блузка ermanno scervino. белоснежный цвет и вышивка дает нарядный и эффектный вид стиль и образ",missing_label
nan,Женское,Куртки,DOLCE&GABBANA,Деним,Темно-синий,Отличное состояние,Частный продавец,17.0,16200.0,"джинсовый монограмный жакет-куртка dolce&gabbana состояние: отличное, могут наблюдаться легкие потертости в виду материала. размер: 42 it (m) *замеры уточняйте. эксклюзивный лот! винтаж из ранних 2000-ых годов. все товары, размещённые в профиле - исключительно оригинал. ‼️в наличии в москве. оперативная отправка. ‼️",missing_label
INT_M,Женское,Джемперы и свитеры,SANDRO,Шерсть,Черный,Новое с биркой,Частный продавец,40.0,30000.0,новый джемпер. шерсть/кашемир.,missing_label
FR_38,Женское,Жакеты и пиджаки,SANDRO,Лен,Серый,Новое с биркой,Частный продавец,60.0,40000.0,"новый жакет, на 42-46 размер.",missing_label
EU_42,Женское,Куртки,MUUBAA,Кожа,Черный,Отличное состояние,Частный продавец,0.0,24000.0,отличное состояние.,missing_label
IT_42,Женское,Пальто,GUCCI,Шерсть,Черный,Отличное состояние,Частный продавец,48.0,170000.0,пальто надевалось один раз. все длинные тканевые бирки срезаны. теплое и не колючее пальто. москва,missing_label
INT_3XS/XS,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,6.0,32727.0,"alo yoga knitted sports pants women's • brownstone • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_3XS,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,3.0,11400.0,"alo yoga athletic trousers women's • brown/espresso • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Синий,Новое с биркой,Бутик,4.0,12363.0,"alo yoga sports pants women's moderate • marine blue/navy • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_2XL,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Серый,Новое с биркой,Бутик,0.0,19875.0,"alo yoga knitted sweatpants unisex • athletic heather grey tonal • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/M,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,4.0,14700.0,"alo yoga athletic trousers women's • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_L,Женское,Боди,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,4.0,10998.0,"alo yoga jumpsuit women's cinnamon brown • cinnamon brown • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Майки,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,4.0,9651.0,"alo yoga elevate tank tank tops women's black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Майки,ALO YOGA,Другое,Желтый,Новое с биркой,Бутик,4.0,9651.0,"alo yoga sports underwear women's yellow/yellow • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S/L,Женское,Юбки-шорты,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,2.0,13743.0,"alo yoga casual short skirts women's • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Майки,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,4.0,18047.0,"alo yoga sports underwear women's • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Куртки,ALO YOGA,Другое,Розовый,Новое с биркой,Бутик,1.0,35949.0,"alo yoga jackets & coats women's • sweet pink/sweet pink • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Футболки,ALO YOGA,Другое,Бежевый,Новое с биркой,Бутик,0.0,14700.0,"alo yoga t shirts women's crew neck moderate straight fit • oatmeal heather • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Майки,ALO YOGA,Другое,Розовый,Новое с биркой,Бутик,1.0,11000.0,"alo yoga aspire yoga tank top women's • vintage pink/white/vintage pink/white • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Худи и толстовки,ALO YOGA,Другое,Бордовый,Новое с биркой,Бутик,1.0,23480.0,"alo yoga sweatshirts unisex hooded moderate regular • burgundy red/burgundy • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
FR_40,Женское,Жилетки,CHANEL,Другое,Черный,Новое с биркой,Бутик,45.0,554298.0,"chanel fw24 vest women's black gray • black gray • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Рубашки,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,1.0,21670.0,"alo yoga polo shirts women's v neck moderate other • black/ivory white/black/ivory • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Майки,NIKE,Другое,Серый,Новое с биркой,Бутик,1.0,11780.0,"nikeskims vintage seamless women's racerback tank top • gray • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Спортивные брюки и шорты,NIKE,Другое,Коричневый,Новое с биркой,Бутик,1.0,13750.0,"nike skims shine women's high waisted v panel 26' leggings • brown • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Бюстгалтеры,NIKE,missing_label,Коричневый,Новое с биркой,Бутик,15.0,11780.0,"nikeskims matte women's cami longline bra • dark umber • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_2XS/S/M,Женское,Леггинсы и велосипедки,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,17690.0,"nikeskims weightless layers women's high-waisted v-panel leggings • nskm swertia • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Майки,NIKE,Другое,Бежевый,Новое с биркой,Бутик,0.0,14700.0,"nikeskims ribbed seamless women's racerneck tank top • nskm dsty ok ms/nskm dune • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Прямые брюки,ALO YOGA,Другое,Бежевый,Новое с биркой,Бутик,1.0,23120.0,"alo yoga cargo pants women's black • ivory/ivory • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Куртки,ALO YOGA,Кожа,Коричневый,Новое с биркой,Бутик,1.0,30520.0,"alo yoga faux leather cropped premier bomber jackets & coats women's • umber/espresso • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S/L,Женское,Леггинсы и велосипедки,NIKE,Другое,Черный,Новое с биркой,Бутик,15.0,11780.0,"nikeskims matte women's high-waisted 26"" leggings • obsidian • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XXS,Женское,Лонгсливы,NIKE,Другое,Черный,Новое с биркой,Бутик,2.0,11200.0,"nikeskims weightless layers women's mock-neck long-sleeve top • obsidian • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XXS/XS/S/M,Женское,Майки,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,18050.0,"nikeskims matte women's double-strap scoop tank top • nskm swertia • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Боди,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,1.0,20600.0,"alo yoga bodysuits women's other • black • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Боди,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,1.0,16390.0,"alo yoga bodysuits women's other • cinnamon brown • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Кардиганы,ALO YOGA,Другое,Белый,Новое с биркой,Бутик,8.0,23480.0,"alo yoga knitwear women's crew neck moderate cardigan • semi sheer white • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/M,Женское,Куртки,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,0.0,29820.0,"alo yoga jackets & coats women's • light cocoa • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Куртки,ALO YOGA,Другое,Хаки,Новое с биркой,Бутик,1.0,36150.0,"alo yoga jackets & coats women's • olive green/green olive • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S/M,Женское,Куртки,ALO YOGA,Другое,Серый,Новое с биркой,Бутик,2.0,20150.0,"alo yoga jackets & coats women's • heather grey • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/M,Женское,Куртки,ALO YOGA,Другое,Зеленый,Новое с биркой,Бутик,1.0,23480.0,"alo yoga jackets & coats women's • trefoil green • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/L,Женское,Куртки,ALO YOGA,Другое,Коричневый,Новое с биркой,Бутик,1.0,27410.0,"alo yoga jackets & coats women's • espresso/espresso • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XXS/XS/S/M,Женское,Майки,ALO YOGA,Другое,Белый,Новое с биркой,Бутик,2.0,13623.0,"alo yoga tank top women's black • белый цвет • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Джемперы и свитеры,POLO RALPH LAUREN,Другое,Зеленый,Новое с биркой,Бутик,27.0,17556.0,"polo ralph lauren cable knit sweater • green • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Прямые брюки,NIKE,Другое,Коричневый,Новое с биркой,Бутик,6.0,14970.0,"nikeskims ribbed seamless women's 34"" straight leggings • dark truffle brown/matte rich brown • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Юбки-шорты,NIKE,Другое,Бежевый,Новое с биркой,Бутик,1.0,18050.0,"nikeskims stretch knit women's wrap skirt • nskm dune • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XXS/M,Женское,Лонгсливы,NIKE,Другое,Коричневый,Новое с биркой,Бутик,1.0,16240.0,"nikeskims matte women's long-sleeve wrap top • nskm dark umber • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S/M,Женское,Лонгсливы,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,17620.0,"nikeskims matte women's long-sleeve wrap top • nskm swertia • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Лонгсливы,NIKE,Другое,Бежевый,Новое с биркой,Бутик,1.0,18050.0,"nikeskims stretch knit women's long-sleeve wrap top • nskm sand dune • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_L,Женское,Куртки,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,1.0,25290.0,"alo yoga jackets & coats unisex black • chestnut/chestnut • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Пижамы и сорочки,ALO YOGA,missing_label,Белый,Новое с биркой,Бутик,0.0,14700.0,"alo yoga slip dresses women's • белый цвет • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S/M/L,Женское,Худи и толстовки,ALO YOGA,Другое,Фиолетовый,Новое с биркой,Бутик,2.0,17290.0,"alo yoga sweatshirts women's crew neck moderate other • plum kiss • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S/M,Женское,Худи и толстовки,ALO YOGA,Другое,Розовый,Новое с биркой,Бутик,1.0,18050.0,"alo yoga sweatshirts women's crew neck moderate other • sweetheart candy pink/candy heart pink • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XXS/XS/M/L,Женское,Кардиганы,ALO YOGA,Другое,Бежевый,Новое с биркой,Бутик,1.0,18050.0,"alo yoga knitwear women's v neck thickened cardigan • ivory/ivory • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_M,Женское,Бюстгалтеры,NIKE,missing_label,Коричневый,Новое с биркой,Бутик,1.0,16240.0,"nikeskims matte women's micro-scoop bra • dark umber • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Спортивные брюки и шорты,NIKE,Другое,Розовый,Новое с биркой,Бутик,1.0,14180.0,"nikeskims matte women's high-waisted 5"" biker shorts • nskm himalayan • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Юбки-шорты,ALO YOGA,Другое,Белый,Новое с биркой,Бутик,1.0,13550.0,"alo yoga casual short skirts women's • white/spruce green/white/spruce green • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Черный,Новое с биркой,Бутик,1.0,20950.0,"alo yoga sports pants women's • black/white/black/white • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS,Женское,Спортивные брюки и шорты,ALO YOGA,Другое,Синий,Новое с биркой,Бутик,2.0,17870.0,"alo yoga sports pants women's moderate • bluestone blue/white/bluestone/white according to the link, please add ""other colors"" in english • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_XS/S,Женское,Пуховики,POLO RALPH LAUREN,Другое,Красный,Новое с биркой,Бутик,63.0,77182.0,"polo ralph lauren fw25 puffer jacket women's • red • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
INT_S,Женское,Куртки,ALO YOGA,Другое,Розовый,Новое с биркой,Бутик,0.0,14700.0,"alo yoga jackets & coats women's • pink • если у вас есть вопросы, воспользуйтесь кнопкой «задать вопрос» — мы с радостью ответим!",missing_label
